FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
,,,,,,,,,,,,,,,
-7.0,40.0,-38.0,22.0,10.0,-13.0,32.0,-11.0,-11.0,2.0,-9.0,-2.0,52.0,22.0,-110.0,15.0
16.0,63.0,-86.0,85.0,8.0,-28.0,85.0,13.0,-32.0,-15.0,2.0,26.0,0.0,-11.0,-6.0,-3.0
7.0,18.0,-33.0,44.0,17.0,-29.0,10.0,38.0,-18.0,-38.0,15.0,34.0,-17.0,-68.0,85.0,-8.0
5.0,-76.0,52.0,-65.0,6.0,-11.0,-69.0,-9.0,0.0,-12.0,-10.0,25.0,-43.0,-19.0,44.0,19.0
-29.0,-57.0,65.0,-79.0,6.0,-3.0,-82.0,-21.0,-5.0,36.0,-17.0,-11.0,17.0,34.0,-72.0,25.0
-14.0,29.0,-22.0,19.0,8.0,3.0,-3.0,4.0,-9.0,19.0,-4.0,-20.0,41.0,48.0,-114.0,11.0
20.0,69.0,-79.0,87.0,18.0,-26.0,97.0,9.0,-10.0,-23.0,5.0,25.0,-3.0,14.0,-21.0,6.0
13.0,22.0,-35.0,53.0,8.0,-27.0,46.0,25.0,-14.0,-33.0,11.0,42.0,-40.0,-40.0,83.0,2.0
-21.0,-51.0,57.0,-42.0,11.0,-20.0,-63.0,15.0,-15.0,-3.0,9.0,17.0,-30.0,-38.0,64.0,12.0
-15.0,-69.0,74.0,-83.0,-4.0,7.0,-74.0,-23.0,7.0,32.0,-11.0,-5.0,22.0,28.0,-54.0,27.0
-18.0,15.0,-1.0,2.0,-1.0,-5.0,14.0,-9.0,-6.0,26.0,-6.0,-12.0,34.0,56.0,-105.0,17.0
1.0,76.0,-73.0,93.0,17.0,-32.0,85.0,27.0,-17.0,-5.0,10.0,11.0,10.0,21.0,-37.0,5.0
20.0,33.0,-45.0,61.0,24.0,-33.0,64.0,14.0,-24.0,-22.0,9.0,49.0,-29.0,-36.0,67.0,9.0
-9.0,-52.0,47.0,-40.0,11.0,-20.0,-45.0,-2.0,-29.0,-14.0,6.0,32.0,-43.0,-50.0,72.0,16.0
-29.0,-71.0,77.0,-80.0,2.0,-8.0,-89.0,-8.0,-12.0,14.0,0.0,-8.0,-6.0,12.0,-34.0,21.0
-15.0,9.0,5.0,-21.0,6.0,5.0,-7.0,-24.0,4.0,17.0,-20.0,-9.0,39.0,43.0,-114.0,25.0
2.0,76.0,-76.0,80.0,11.0,-25.0,83.0,13.0,-14.0,-8.0,4.0,14.0,31.0,15.0,-53.0,3.0
11.0,47.0,-58.0,80.0,21.0,-46.0,66.0,37.0,-41.0,-17.0,18.0,40.0,-24.0,-24.0,56.0,-7.0
-11.0,-34.0,34.0,-32.0,24.0,-22.0,-42.0,-3.0,-60.0,12.0,8.0,42.0,-35.0,-57.0,83.0,10.0
-40.0,-65.0,81.0,-86.0,3.0,-10.0,-90.0,-13.0,-6.0,7.0,-9.0,1.0,-13.0,4.0,-17.0,20.0
-8.0,-10.0,17.0,-22.0,-2.0,9.0,-28.0,-2.0,14.0,4.0,-13.0,-20.0,30.0,40.0,-104.0,20.0
6.0,64.0,-64.0,69.0,13.0,-22.0,78.0,5.0,-9.0,-6.0,-9.0,17.0,25.0,24.0,-69.0,13.0
10.0,56.0,-69.0,84.0,12.0,-29.0,66.0,32.0,-31.0,-35.0,13.0,43.0,-23.0,-41.0,56.0,-1.0
-9.0,-23.0,24.0,-9.0,13.0,-21.0,-32.0,23.0,-21.0,-21.0,11.0,34.0,-40.0,-53.0,89.0,7.0
-25.0,-75.0,86.0,-89.0,11.0,-10.0,-80.0,-23.0,-17.0,12.0,-11.0,13.0,-9.0,-16.0,-3.0,25.0
-21.0,-13.0,27.0,-34.0,-4.0,15.0,-40.0,-10.0,-4.0,21.0,-12.0,-14.0,27.0,43.0,-102.0,22.0
-4.0,65.0,-64.0,72.0,8.0,-23.0,56.0,27.0,-5.0,-6.0,1.0,-2.0,15.0,42.0,-71.0,2.0
31.0,62.0,-77.0,83.0,11.0,-20.0,85.0,23.0,-25.0,-24.0,12.0,44.0,-41.0,0.0,45.0,3.0
8.0,-27.0,7.0,-3.0,6.0,-21.0,-19.0,19.0,-24.0,-17.0,12.0,38.0,-16.0,-76.0,94.0,6.0
-30.0,-69.0,83.0,-75.0,7.0,-12.0,-90.0,4.0,-28.0,25.0,9.0,2.0,-9.0,-11.0,12.0,15.0
-27.0,-19.0,43.0,-54.0,0.0,0.0,-30.0,-28.0,2.0,22.0,-12.0,-8.0,23.0,49.0,-93.0,26.0
-16.0,67.0,-47.0,55.0,4.0,-11.0,57.0,8.0,-1.0,0.0,6.0,0.0,47.0,32.0,-83.0,10.0
4.0,58.0,-69.0,102.0,25.0,-43.0,79.0,34.0,-37.0,-21.0,19.0,31.0,-35.0,-3.0,35.0,-6.0
27.0,-17.0,-6.0,8.0,9.0,-9.0,5.0,9.0,-24.0,-17.0,11.0,49.0,-11.0,-69.0,93.0,7.0
-22.0,-75.0,76.0,-75.0,0.0,-12.0,-78.0,-6.0,-52.0,21.0,11.0,15.0,1.0,-57.0,33.0,18.0
-12.0,-49.0,47.0,-58.0,-10.0,3.0,-54.0,-11.0,19.0,10.0,-11.0,-19.0,32.0,27.0,-88.0,26.0
6.0,43.0,-43.0,36.0,0.0,-4.0,58.0,-11.0,11.0,4.0,-21.0,3.0,16.0,58.0,-99.0,22.0
22.0,58.0,-78.0,95.0,3.0,-20.0,90.0,24.0,-3.0,-30.0,0.0,29.0,-24.0,3.0,15.0,2.0
15.0,-9.0,-15.0,31.0,5.0,-23.0,10.0,29.0,-16.0,-25.0,3.0,38.0,-52.0,-37.0,87.0,3.0
-9.0,-76.0,67.0,-75.0,3.0,-3.0,-76.0,-16.0,-19.0,12.0,-11.0,24.0,-21.0,-30.0,35.0,22.0
-38.0,-43.0,58.0,-72.0,4.0,-10.0,-67.0,-22.0,-28.0,41.0,-14.0,-15.0,8.0,29.0,-75.0,22.0
-2.0,37.0,-32.0,30.0,2.0,-6.0,32.0,4.0,2.0,19.0,-12.0,-12.0,50.0,31.0,-95.0,12.0
16.0,76.0,-80.0,88.0,22.0,-20.0,89.0,8.0,-3.0,-28.0,-2.0,33.0,-4.0,4.0,6.0,-5.0
-2.0,7.0,-18.0,49.0,37.0,-48.0,23.0,24.0,-64.0,-4.0,18.0,41.0,-38.0,-53.0,93.0,-11.0
4.0,-82.0,51.0,-64.0,-8.0,-11.0,-72.0,0.0,-2.0,-30.0,-1.0,18.0,-46.0,-29.0,46.0,14.0
-18.0,-54.0,57.0,-82.0,3.0,-5.0,-61.0,-33.0,9.0,24.0,-22.0,-5.0,21.0,29.0,-71.0,27.0
1.0,25.0,-28.0,16.0,-1.0,-5.0,25.0,-4.0,0.0,8.0,-10.0,-14.0,52.0,24.0,-101.0,9.0
28.0,70.0,-88.0,92.0,18.0,-25.0,80.0,30.0,-6.0,-26.0,3.0,18.0,0.0,4.0,-14.0,-1.0
38.0,25.0,-41.0,47.0,23.0,-14.0,44.0,16.0,-5.0,-34.0,6.0,52.0,-35.0,-36.0,88.0,4.0
0.0,-58.0,54.0,-49.0,16.0,-12.0,-64.0,7.0,-16.0,-4.0,8.0,25.0,-27.0,-44.0,74.0,10.0
-10.0,-58.0,76.0,-78.0,21.0,1.0,-85.0,-7.0,-12.0,35.0,1.0,-9.0,29.0,11.0,-50.0,24.0
-28.0,52.0,10.0,8.0,39.0,-11.0,31.0,-17.0,-4.0,23.0,-1.0,-4.0,59.0,37.0,-101.0,18.0
27.0,74.0,-72.0,90.0,34.0,-28.0,89.0,24.0,-3.0,-22.0,17.0,16.0,4.0,26.0,-23.0,0.0
48.0,24.0,-45.0,63.0,20.0,-10.0,45.0,35.0,-17.0,-29.0,18.0,40.0,-32.0,-33.0,74.0,2.0
28.0,-48.0,50.0,-39.0,21.0,8.0,-32.0,-7.0,-13.0,7.0,11.0,39.0,-18.0,-38.0,87.0,12.0
-6.0,-53.0,81.0,-81.0,12.0,22.0,-87.0,-6.0,-25.0,38.0,12.0,-5.0,28.0,7.0,-31.0,15.0
11.0,19.0,10.0,-10.0,22.0,12.0,0.0,-3.0,16.0,6.0,0.0,-13.0,64.0,27.0,-103.0,21.0
39.0,84.0,-65.0,79.0,38.0,-7.0,99.0,6.0,4.0,-12.0,8.0,23.0,22.0,39.0,-45.0,7.0
42.0,58.0,-49.0,78.0,37.0,-9.0,68.0,31.0,-41.0,-14.0,31.0,43.0,-10.0,-42.0,75.0,-4.0
25.0,-35.0,42.0,-22.0,35.0,-12.0,-27.0,14.0,0.0,-15.0,11.0,36.0,-27.0,-41.0,86.0,14.0
0.0,-54.0,88.0,-89.0,33.0,22.0,-85.0,-24.0,-3.0,33.0,-10.0,11.0,6.0,19.0,-25.0,30.0
-9.0,1.0,31.0,-14.0,31.0,-5.0,-11.0,-6.0,12.0,14.0,-10.0,-15.0,41.0,45.0,-106.0,22.0
24.0,83.0,-66.0,75.0,38.0,13.0,56.0,11.0,-8.0,2.0,4.0,10.0,29.0,29.0,-61.0,10.0
58.0,55.0,-63.0,74.0,31.0,-2.0,83.0,13.0,-34.0,-6.0,16.0,51.0,11.0,-43.0,58.0,1.0
30.0,-32.0,26.0,-13.0,24.0,6.0,-35.0,18.0,-22.0,-31.0,16.0,37.0,-29.0,-71.0,95.0,5.0
16.0,-66.0,77.0,-87.0,22.0,12.0,-88.0,-6.0,-3.0,18.0,-8.0,2.0,8.0,-4.0,-12.0,18.0
-6.0,9.0,30.0,-42.0,21.0,12.0,-14.0,-28.0,26.0,15.0,-25.0,-6.0,36.0,50.0,-101.0,24.0
33.0,70.0,-65.0,68.0,25.0,-7.0,69.0,19.0,4.0,-11.0,-8.0,1.0,24.0,34.0,-73.0,1.0
52.0,72.0,-76.0,81.0,41.0,-13.0,75.0,26.0,-35.0,-7.0,7.0,38.0,0.0,-29.0,35.0,-3.0
33.0,-16.0,10.0,-11.0,31.0,-6.0,-6.0,-2.0,-51.0,-9.0,2.0,49.0,-33.0,-67.0,84.0,7.0
5.0,-69.0,81.0,-77.0,26.0,5.0,-87.0,-3.0,-7.0,-1.0,1.0,7.0,3.0,-15.0,3.0,10.0
7.0,-18.0,42.0,-46.0,19.0,15.0,-38.0,-11.0,22.0,3.0,-10.0,-12.0,49.0,21.0,-87.0,20.0
31.0,67.0,-52.0,49.0,18.0,14.0,62.0,1.0,11.0,-14.0,-7.0,9.0,9.0,69.0,-90.0,10.0
36.0,73.0,-75.0,93.0,26.0,-13.0,78.0,35.0,-16.0,-36.0,14.0,32.0,-26.0,-7.0,32.0,-5.0
17.0,11.0,9.0,16.0,53.0,-23.0,0.0,22.0,-34.0,-17.0,20.0,43.0,-27.0,-56.0,92.0,3.0
11.0,-67.0,77.0,-78.0,23.0,12.0,-77.0,-14.0,-41.0,20.0,7.0,21.0,-15.0,-23.0,24.0,20.0
-2.0,-28.0,55.0,-52.0,13.0,20.0,-53.0,-8.0,22.0,7.0,-2.0,-18.0,31.0,38.0,-79.0,19.0
28.0,65.0,-45.0,43.0,18.0,14.0,46.0,12.0,6.0,-2.0,5.0,-1.0,46.0,43.0,-93.0,12.0
39.0,83.0,-74.0,91.0,33.0,-13.0,102.0,17.0,-35.0,-7.0,25.0,42.0,25.0,-17.0,17.0,1.0
23.0,18.0,-8.0,32.0,24.0,-1.0,13.0,30.0,-39.0,-34.0,38.0,43.0,-36.0,-58.0,100.0,1.0
9.0,-56.0,70.0,-68.0,27.0,18.0,-90.0,-1.0,1.0,-4.0,3.0,18.0,-31.0,-8.0,36.0,22.0
-2.0,-37.0,66.0,-68.0,19.0,19.0,-53.0,-26.0,-3.0,33.0,-3.0,-2.0,14.0,55.0,-72.0,28.0
16.0,51.0,-27.0,36.0,16.0,4.0,41.0,14.0,9.0,5.0,8.0,-8.0,45.0,50.0,-93.0,14.0
38.0,85.0,-75.0,93.0,35.0,-9.0,95.0,21.0,-23.0,-14.0,20.0,33.0,0.0,9.0,3.0,3.0
42.0,16.0,-17.0,38.0,30.0,-3.0,36.0,16.0,-14.0,-27.0,20.0,54.0,-35.0,-42.0,98.0,12.0
16.0,-59.0,70.0,-51.0,20.0,13.0,-67.0,10.0,-12.0,-3.0,15.0,20.0,-24.0,-37.0,60.0,21.0
-4.0,-46.0,76.0,-72.0,21.0,12.0,-59.0,-20.0,-1.0,26.0,0.0,-4.0,21.0,32.0,-66.0,34.0
-6.0,52.0,-10.0,14.0,30.0,-1.0,36.0,-14.0,-4.0,15.0,-6.0,4.0,43.0,43.0,-106.0,28.0
33.0,80.0,-74.0,93.0,24.0,-5.0,82.0,31.0,-12.0,-13.0,10.0,21.0,10.0,7.0,-16.0,5.0
40.0,36.0,-31.0,54.0,32.0,-2.0,41.0,28.0,-35.0,-7.0,18.0,48.0,-11.0,-52.0,83.0,3.0
4.0,-41.0,63.0,-56.0,33.0,8.0,-57.0,-12.0,-13.0,-6.0,-2.0,36.0,-33.0,-35.0,65.0,19.0
-19.0,-59.0,85.0,-77.0,20.0,-4.0,-75.0,-10.0,-1.0,22.0,-13.0,-11.0,6.0,23.0,-47.0,16.0
-5.0,50.0,-8.0,-1.0,31.0,0.0,16.0,-11.0,-4.0,24.0,-15.0,-10.0,55.0,36.0,-107.0,11.0
32.0,84.0,-80.0,82.0,29.0,-10.0,95.0,5.0,-46.0,-1.0,7.0,27.0,29.0,-11.0,-25.0,-5.0
40.0,41.0,-50.0,61.0,27.0,-9.0,38.0,36.0,-21.0,-40.0,16.0,39.0,-34.0,-35.0,79.0,-15.0
22.0,-46.0,43.0,-45.0,19.0,0.0,-46.0,0.0,-4.0,-22.0,2.0,33.0,-31.0,-42.0,74.0,7.0
-4.0,-61.0,72.0,-94.0,14.0,5.0,-71.0,-35.0,-36.0,33.0,-12.0,4.0,18.0,-11.0,-39.0,21.0
-20.0,28.0,11.0,-5.0,22.0,-2.0,-1.0,-6.0,8.0,-6.0,-6.0,-20.0,34.0,38.0,-102.0,5.0
